question_number,gsq_14_question_number,modality,abbr_mod,direction,question_text,child_question_text
31,10,Auditory,Aud,Hyper,Do you react very strongly when you hear an unexpected sound?,Do sudden sounds make you jump or scared or unhappy?
32,NA,Vestibular,Ves,Hyper,Do you dislike walking on uneven surfaces?,Do you dislike walking on uneven surfaces?
33,11,Auditory,Aud,Hypo,"Do you really like listening to certain sounds (for example, the sound of paper rustling)?","Do you really like listening to certain sounds (for example, the sound of paper rustling)?"
34,12,Vestibular,Ves,Hypo,Do you like to run about – perhaps up and down in straight lines or round in circles?,Do you like to run about – maybe up and down in straight lines or round in circles?
35,NA,Gustatory,Gus,Hypo,Do you chew and lick objects that aren’t food (for example pen lids or bottle tops) because you like the way they feel in your mouth?,Do you chew and lick objects that aren’t food (for example pen lids or bottle tops) because you like the way they feel in your mouth?
36,NA,Olfactory,Olf,Hypo,Do you enjoy wearing very strong perfumes/after-shaves?,Do you enjoy very strong smelling bubble bath or shampoo or body spray or air freshener?
37,NA,Propioceptive,Pro,Hyper,"Do you find that you position your body in a way that is different to most people (for example, lie on your back on a sofa with your legs straight up in the air at a 90° angle)?",Do people tell you that you sit in strange ways?
38,NA,Propioceptive,Pro,Hyper,Do you find it difficult to tie your shoelaces or button up your clothes?,Do you find it difficult to tie your shoelaces or button up your clothes?
39,NA,Tactile,Tac,Hypo,Do you find that you are able to go outside without a coat or a jacket when other people think that it is too cold?,Do you find that you are able to go outside without a coat or a jacket when other people think that it is too cold?
40,NA,Gustatory,Gus,Hypo,Do you eat the same foods most of the time?,Do you eat the same foods most of the time?
41,13,Propioceptive,Pro,Hyper,"Do you like to wear something/hold something (for example, a hat or a pencil) so that you know where your body ‘ends’?","Do you like to wear something/hold something (for example, a hat or a pencil) so that you know where your body ‘ends’?"
42,14,Visual,Vis,Hypo,Do you flick your fingers in front of your eyes?,Do you flick your fingers in front of your eyes?
